UUID;Artist;Track title;Album;Duration (milliseconds)
0fce9efa-0bb8-3442-a9de-ab53c1c19ba3;Dark Tranquillity;Through Ebony Archways;Skydancer & Of Chaos Eternal Night [Reissue 1999];224337
a0cb1886-7a03-3b1d-9d2a-7f39aad9e6c4;Dark Tranquillity;...Of Melancholy Burning;The Gallery [Deluxe Edition];376342
0a762406-a841-37fc-8a92-6ce6dbbe9018;Dark Tranquillity;Lethe;The Gallery [Deluxe Edition];282929
2bf3ead4-47b7-32dd-b8c5-261d27182ab8;Dark Tranquillity;Punish My Heaven;The Gallery [Deluxe Edition];286978
f566c3dd-f205-35af-9356-7fcd2f1f52b5;Dark Tranquillity;Constant;The Mind's I [Deluxe Edition];182228
99875263-aba4-3809-b792-9eba40c57595;Dark Tranquillity;Hedon;The Mind's I [Deluxe Edition];337368
7944322a-0218-36bc-b2cf-fbe58408e535;Dark Tranquillity;Insanity's Crescendo;The Mind's I [Deluxe Edition];411999
a80f6319-26bc-3108-b8db-a8910356dbae;Dark Tranquillity;Tongues;The Mind's I [Deluxe Edition];293796
53f0071c-2be9-35a1-8449-dc2ad09a523f;Dark Tranquillity;Zodijackyl Light;The Mind's I [Deluxe Edition];239593
ad605ff1-2236-316b-a2a9-081cfe8ae769;Dark Tranquillity;Her Silent Language;We Are The Void [Tour Edition];212654
f4fa7a77-244f-36ed-8eee-10c42247ab98;Dark Tranquillity;In My Absence;We Are The Void [Tour Edition];285428
07bd930c-5f2c-38bc-a8ca-7bcbc385771f;Dark Tranquillity;The Grandest Acusation;We Are The Void [Tour Edition];295207
4a58c28a-04a0-3d0d-847e-0035dee10509;Dark Tranquillity;Her Silent Language;We Are the Void;213000
8268c04f-16bf-3f9b-911f-c48d8422ef47;Darkseed;Forever Darkness;Diving Into Darkness;322036
6caf9972-b835-385d-8faf-44191aa41c27;Darkseed;Dancing With The Lion;Give Me Light;192062
e670c233-18e5-3649-8d1a-65ea84c9870f;Darkseed;Fall Whatever Falls;Spellcraft;260000
b4395505-2edb-32c8-946a-5ef797e82531;Darkseed;Self Pity Sick;Spellcraft;244000
6e4ee278-0793-37ae-9140-77ad09836c38;Darren Korb;The Spine;Transistor Original Soundtrack;194220
3f94128a-2952-3c16-bce1-4f442a93dd7c;David Guetta;Titanium (feat. Sia);Nothing But the Beat Ultimate;245000
afc83f8c-a661-31e3-8647-c7074f30fb38;Deadlock;Code Of Honor;Wolves;267000
415a1e53-2dea-33eb-b2f1-40f39e3e5045;Delerium;Fallen (feat. Rani);Chimera;230000
17600726-32f5-39b3-8719-75723ddf4bca;Demons & Wizards;Fiddler On The Green;Demons & Wizards;356254
ebb0b922-4300-3aa6-8a2a-1562f33df392;Depeche Mode;Precious;Playing the Angel;234234
863c1546-d2f9-3929-893d-fbab43055759;Desireless;Qui peut savoir;François;230000
730beda2-ddfc-3371-a2a2-9cf8cbdb30ac;Dido;Don't Think Of Me;No Angel;271128
17951b72-aec4-383b-a6bc-9aa43cbc6a2f;Dimmu Borgir;Perfection or Vanity;Puritanical Euphoric Misanthropia;216000
f8646688-d630-34e0-bbea-dbe77ba9ec17;Disarmonia Mundi;Mindtricks;Mind Tricks (Extended Version);232000
d54028ab-efd1-39f5-b93e-289e98428478;Disturbed;Never Wrong;Immortalized (Deluxe Edition);213106
7bf89baa-9a33-358c-92c1-940a5376345c;Disturbed;Save Our Last Goodbye;Immortalized (Deluxe Edition);299650
cec4286f-0ece-3363-95fc-b43728e3bb58;Disturbed;Tyrant;Immortalized (Deluxe Edition);229067
a242deea-432c-30cf-b489-bbcac90fb4a6;Disturbed;Land Of Confusion;Ten Thousand Fists;291787
b5f8b607-3b4f-36de-9d96-46934196bb9b;Disturbed;Stricken;Ten Thousand Fists;246935
a399c838-58ea-3c33-9372-203d38d4a0ef;Dommin;Closure;Love Is Gone (Special Edition);255008
3613987e-79c7-36a8-8afa-3933ec06f6be;Dommin;Closure;Love Is Gone;258000
dd5e2986-4826-34db-b0c8-ead87b132d2d;Dream Theater;The Silent Man;Awake;227733
da58269a-5cf6-36f2-9912-8ce68d6352ad;Dream Theater;Hollow Years;Falling Into Infinity;353903
cff084c3-99a1-31f8-9606-f9800d4feba4;Dream Theater;You Not Me;Falling Into Infinity;298785
dfc579d3-ec6c-3b6b-8b4d-736834964b6d;Dynoro;In My Mind;In My Mind;184000
078659db-4d80-3940-b7fb-ee29af118b31;Eagle-Eye Cherry;Save Tonight;Desireless;240000
c5c67ff9-dec0-3d17-b2a6-5db6eec85384;Edenbridge;The Moment Is Now;The Great Momentum;259000
ede39b30-e4a3-3e2a-b103-f2df180fb7a7;Edwyn Collins;A Girl Like You;Gorgeous George;239333
cf7b6a8f-0891-3162-a399-86a0d49ef522;Edwyn Collins;Low Expectations;Gorgeous George;239177
6ef40a2e-6913-3482-b3c1-860b4b55c7ea;Edwyn Collins;Out Of This World;Gorgeous George;339876
a9b0e961-231f-37ea-9ec1-1b8fdfe8b446;Elvis Presley;A Little Less Conversation [JXL Radio Edit Remix] [*];Elvis: 30 #1 Hits;213261
e1ef3159-144d-3268-b17e-ee29c8a0fa0f;Engel;In Splendour;Absolute Design;222691
06a3de4a-5b5e-3f48-820d-9f45bac5b2ac;Engel;Next Closed Door;Absolute Design;194061
1663680f-7f36-34d3-95e6-4d88ad7ce4a2;Engel;The Paraclete;Absolute Design;205320
214935bc-5413-39e3-bace-c07658754ac5;Engel;Down To Nothing;Blood Of Saints;209056
1eed16f4-a173-36ca-8c44-7b6f7e812e53;Engel;Drama Queen;Blood Of Saints;196040
e576b084-d0f6-3d28-9694-59f44daf5ad8;Engel;Feel Afraid;Blood Of Saints;185198
c3a3a219-0a0d-3f03-844d-cc467009f7f5;Engel;Journeys End;Blood Of Saints;287170
bd873a1c-a97d-3548-9fdb-7aef0acef57f;Engel;One Good Thing;Blood Of Saints;198640
340f071c-faee-39a0-9c4e-a770986a63bb;Engel;Question Your Place;Blood Of Saints;213720
03f70c3c-749a-371e-a46e-9ab2012cee28;Engel;Fading Light;Raven Kings;219269
c83c8dd3-8ef0-3113-94e4-df336ea75064;Engel;Hollow Soul;Raven Kings;210492
aca3f7d7-e092-3dc9-9fdb-b0a1a2a854f8;Engel;My Dark Path;Raven Kings;225826
1df84dc3-1320-3090-a86a-10eb6756a956;Engel;Down;Threnody;229144
47372e3a-310b-360b-ab5a-2b11e1d0dc3d;Engel;Every Sin (Leaves A Mark);Threnody;212216
a1740f83-3249-3eb1-930d-0137bc1271be;Engel;Feed The Weak;Threnody;256285
941dff76-cfa4-3334-bdc9-8c8cf93dc77e;Engel;For Those Who Will Resist;Threnody;221359
759ac2b9-2227-38f2-abf7-dc916c72259c;Engel;Heartsick;Threnody;273995
f7547ec1-8853-3128-9490-e69c59ad1d07;Engel;Perfect Isis;Threnody;360434
74ed91d8-15a2-3dc5-bc0f-7bd43cb69080;Engel;Sense The Fire;Threnody;260307
748882f2-00a2-3598-8146-38ff9104e1c9;Engel;Six Feet Deep;Threnody;201559
98e33dba-88a4-30ef-99c0-22a7353ffb7c;Engel;To The End;Threnody;242153
86de397d-3c1f-3f90-bf80-41a56ed774b5;Enigma;Camera Obscura;The Screen Behind The Mirror;87875
a93a3b0f-eff7-343a-98d4-c662b9b685b6;Enigma;Gravity Of Love;The Screen Behind The Mirror;238000
332c5253-1cf2-3fe5-b10f-1ee23a175f86;Eternal Tears of Sorrow;Blood Of Hatred;A Virgin And A Whore;193000
0eb03e10-fee1-3c43-b165-e15e94b11270;Eternal Tears Of Sorrow;Red Dawn Rising;Before the Bleeding Sun;306442
6b7b36aa-f6ff-3663-9932-3f531aa65ec8;Eternal Tears Of Sorrow;Sinister Rain;Before the Bleeding Sun;340688
b2784dd6-7809-361d-a68c-a6a3b2feed35;Eternal Tears of Sorrow;Midnight Bird;Children Of The Dark Waters;286978
055bccb2-7b4a-3003-8ec4-f428d20221f5;Eternal Tears of Sorrow;Sea Of Whispers;Children Of The Dark Waters;254665
5d633c0d-cbd8-328d-8275-55dd8f89111d;Eternal Tears of Sorrow;Tears Of Autumn Rain;Children Of The Dark Waters;253333
3ec4527b-60d1-3593-a22c-616813b30bab;Europe;The Final Countdown;Play: Classic Rock;238730
1f13344e-8e99-3504-9883-2f188ece390a;Eurythmics;Sweet Dreams (Are Made of This) (Remastered);Sweet Dreams (Are Made Of This);216000
1a27783b-e32d-3f9e-9dfa-012e71f8f0d6;Evanescence;Imperfection;Synthesis;262000
79f167ac-26f2-336f-932f-75d97ea9e526;Fall Out Boy;Beat It (Studio Version) (feat. John Mayer);Beat It;226000
a00669d2-b238-369e-a857-29fa34094850;Fall Out Boy;Dance, Dance;From Under The Cork Tree;180000
2278ce7a-8b3a-321f-b273-6660bc1f8feb;Fall Out Boy;The Phoenix;Save Rock And Roll;245000
8801a69d-8e4a-3ce1-9551-a002551774eb;Felix Jaehn;Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson);Ain't Nobody (Loves Me Better);186000
0a3a6e55-da2a-3e28-859a-ca2e5c83b10e;Five Finger Death Punch;Coming Down;American Capitalist;241240
3ea895f7-8a39-30d8-ae35-d82afba123e3;Five Finger Death Punch;Generation Dead;American Capitalist;223190
ba3bbecf-2d25-3cdc-b04a-1a2a38b96706;Five Finger Death Punch;Can't Heal You;The Way Of The Fist;183510
6ffd4b43-958f-3b8a-b061-4b5159a4d3ed;Five Finger Death Punch;Never Enough;The Way Of The Fist;208468
a292302b-4ac5-378d-9743-1dbf8c704f01;Five Finger Death Punch;Canto 34;War Is The Answer;249547
f23f5580-3c0d-302d-bd34-408a0d5d2214;Florence + the Machine;Queen of Peace;How Big, How Blue, How Beautiful;307356
3f4a8288-fd42-3265-a5b2-1f9edeefafb6;Florence + the Machine;Ship to Wreck;How Big, How Blue, How Beautiful;234527
01639449-8272-3f0e-928e-6f916da06ca4;For My Pain…;Sea of Emotions;Fallen;235000
35a9525a-4694-311c-9c83-f1bf9f9e3b7a;Fort Minor;Believe Me;Smash Hit;222014
addaa2c3-e1ac-3ca4-97be-14c51cdefc3d;Foster The People;Pumped Up Kicks (Butch Clancy Remix);Pumped Up Kicks (Butch Clancy Remix);362814
1f25f786-550b-3fe9-90b2-22e421baf197;Foster the People;Pumped Up Kicks;Torches;239000
746dcd5a-63b5-310f-9d30-5b30ed3ff04e;Franz Ferdinand;Take Me Out;Franz Ferdinand;237033
8ca868e5-3f8e-3f76-a1d3-34a0986f84a4;Franz Ferdinand;Love Illumination;Love Illumination [Single];224311
e64fd412-8683-3a71-9069-8439f0b11a5d;Funkbrainer;Memoire Selective (Original Mix);Dark Silence - EP;439000
5aa2e123-da0e-3734-9075-527044497006;Gabin;Mille Et Une Nuit Des Desires;Greatest Hits;344838
4cd5e5e7-1db3-350b-bf73-6020e35ad209;Garbage;Androgyny;Beautiful Garbage (remastered);189000
